name,price,bairro
Apartamento Padrão,"335.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"325.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"520.000,00",Bairro: Centro
Casa Padrão,"260.000,00",Bairro: Jardim São Francisco
Casa Padrão,"215.000,00",Bairro: Vila Pioneiro
Apartamento Padrão,"647.574,22",Bairro: Vila Industrial
Apartamento Padrão,"638.503,12",Bairro: Vila Industrial
Apartamento Padrão,"613.375,71",Bairro: Vila Industrial
Apartamento Padrão,"610.428,39",Bairro: Vila Industrial
Apartamento Padrão,"603.591,89",Bairro: Vila Industrial
Apartamento Padrão,"595.679,70",Bairro: Vila Industrial
Apartamento Padrão,"1.496.176,41",Bairro: Vila Industrial
Apartamento Padrão,"841.670,90",Bairro: Vila Industrial
Apartamento Padrão,"816.489,64",Bairro: Vila Industrial
Apartamento Padrão,"763.220,17",Bairro: Vila Industrial
Apartamento Padrão,"751.336,63",Bairro: Vila Industrial
Apartamento Padrão,"744.296,76",Bairro: Vila Industrial
Apartamento Padrão,"988.178,75",Bairro: Vila Industrial
Apartamento Padrão,"899.659,37",Bairro: Vila Industrial
Apartamento Padrão,"858.725,63",Bairro: Vila Industrial
Apartamento Padrão,"830.365,54",Bairro: Vila Industrial
Apartamento Padrão,"822.433,89",Bairro: Vila Industrial
Casa Padrão,"1.800.000,00",Bairro: Vila Industrial
Casa Sobrado,"435.000,00",Bairro: Vila Pioneiro
Comercial Sala Comerc...,"
															2.500,00														",Bairro: Jardim Porto Alegre
Casa Padrão,"2.900.000,00",Bairro: Jardim La Salle
Casa Padrão,"219.000,00",Bairro: Jardim Coopagro
Casa Padrão,"219.000,00",Bairro: Jardim Coopagro
Comercial Sala Comercial,"1.100.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"150.000,00",Bairro: Jardim Europa/America
Apartamento Padrão,"790.000,00",Bairro: Centro
Comercial Sala Comerc...,"635.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"598.000,00",Bairro: Jardim La Salle
Rural Chácara com Casa,"3.700.000,00",Bairro: Jardim Pancera
Casa Padrão,"950.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"350.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"333.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"320.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"307.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"307.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"298.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"298.000,00",Bairro: Jardim La Salle
Casa Padrão,"870.000,00",Bairro: Jardim Pancera
Casa Padrão,"870.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"870.000,00",Bairro: Jardim La Salle
Rural Sítio,"70.000,00",Bairro: São Roque (Distrito de Marechal)
Casa Padrão,"350.000,00",Bairro: São Luiz do Oeste (Distrito de Tole
Apartamento Padrão,"450.000,00",Bairro: Jardim Porto Alegre
Casa Padrão,"399.000,00",Bairro: Jardim Coopagro
Apartamento Padrão,"570.000,00",Bairro: Centro
Rural Chácara com Casa,"990.000,00",Bairro: Zona Rural
Casa Padrão,"270.000,00",Bairro: Jardim Panorama
Casa Padrão,"230.000,00",Bairro: Jardim Panorama
Apartamento Cobertura,"890.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"2.565.000,00",Bairro: Meia Praia
Terreno Lote Urbano,"300.000,00",Bairro: Vila Pioneiro
Comercial Sala Comercial,"
															4.500,00														",Bairro: Centro
